date,parameter,unit,value
1993-02-27,T,°C,0.43000
1993-02-27,p,hPa,958.41000
1993-02-27,T_max_h1,°C,4.78000
1993-02-28,StrGlo,W/m2,53.93000
1993-02-28,T,°C,0.07000
1993-02-28,p,hPa,958.41000
1993-02-28,T_max_h1,°C,1.27000
1993-03-01,StrGlo,W/m2,60.10000
1993-03-01,T,°C,-0.53000
1993-03-01,p,hPa,951.56000
1993-03-01,T_max_h1,°C,1.02000
1993-03-02,StrGlo,W/m2,75.01000
1993-03-02,T,°C,2.34000
1993-03-02,p,hPa,949.13000
1993-03-02,T_max_h1,°C,5.87000
1993-03-03,StrGlo,W/m2,38.46000
1993-03-03,T,°C,0.74000
1993-03-03,p,hPa,957.31000
1993-03-03,T_max_h1,°C,1.65000
1993-03-04,StrGlo,W/m2,
1993-03-04,T,°C,
1993-03-04,p,hPa,
1993-03-04,T_max_h1,°C,
1993-03-05,StrGlo,W/m2,151.94000
1993-03-05,T,°C,-1.69000
1993-03-05,p,hPa,968.55000
1993-03-05,T_max_h1,°C,1.34000
1993-03-06,StrGlo,W/m2,47.31000
1993-03-06,T,°C,0.80000
1993-03-06,p,hPa,966.53000
1993-03-06,T_max_h1,°C,2.13000
1993-03-07,StrGlo,W/m2,43.80000
1993-03-07,T,°C,2.97000
1993-03-07,p,hPa,965.17000
1993-03-07,T_max_h1,°C,5.01000
1993-03-08,StrGlo,W/m2,169.95000
1993-03-08,T,°C,1.44000
1993-03-08,p,hPa,965.71000
1993-03-08,T_max_h1,°C,3.80000
1993-03-09,StrGlo,W/m2,160.23000
1993-03-09,T,°C,1.96000
1993-03-09,p,hPa,970.06000
1993-03-09,T_max_h1,°C,7.65000
1993-03-10,StrGlo,W/m2,164.54000
1993-03-10,T,°C,4.81000
1993-03-10,p,hPa,972.62000
1993-03-10,T_max_h1,°C,10.85000
1993-03-11,StrGlo,W/m2,146.42000
1993-03-11,T,°C,6.41000
1993-03-11,p,hPa,973.69000
1993-03-11,T_max_h1,°C,12.00000
1993-03-12,StrGlo,W/m2,157.08000
1993-03-12,T,°C,7.23000
1993-03-12,p,hPa,971.99000
1993-03-12,T_max_h1,°C,13.21000
1993-03-13,StrGlo,W/m2,160.61000
1993-03-13,T,°C,7.62000
1993-03-13,p,hPa,969.81000
1993-03-13,T_max_h1,°C,13.28000
1993-03-14,StrGlo,W/m2,170.41000
1993-03-14,T,°C,8.28000
1993-03-14,p,hPa,971.65000
1993-03-14,T_max_h1,°C,13.91000
1993-03-15,StrGlo,W/m2,142.32000
1993-03-15,T,°C,9.53000
1993-03-15,p,hPa,974.70000
